Sleep Study,–,£350
,,
,,
Physiotherapy,Canary Wharf,Orpington
Initial Musculoskeletal Assessment,£72,£70
Follow up – Musculoskeletal,£61,£52
Initial Hand Therapy,–,£87
Follow up Hand Therapy,–,£52
Physio 4 Pack,£198,–
Physio 6 Pack,£275,–
Shockwave (1 session),£110,£100
Shockwave (3 sessions),£303,£275
,,
,,
Audiology,Canary Wharf,Orpington
Hearing Consultation,£150,£150
Puretone Audiogram,£100,£100
Loudness Discomfort Levels,£90,£90
Tympanometry,£65,£65
Acoustic Reflexes,£150,£150
Speech Audiometry,£88,£88
Auditory Training,£150,£150
Auditory Implant Evaluation,£150,£150
Medicolegal Evaluation,£175,£175
Medicalegal Audiogram,£100,£100
Hearing Aid Consultation,£150,£150
2nd Opinion Consultation,£100,£100
Universal Hearing Aid Package (1 Ear),"£1,800","£1,800"
Universal Hearing Aid Package (2 Ears),"£3,600","£3,600"
Advanced Hearing Aid Package (1 Ear),"£2,400","£2,400"
Advanced Hearing Aid Package (2 Ears),"£4,800","£4,800"
Premium Hearing Aid Package (1 Ear),"£3,000","£3,000"
Premium Hearing Aid Package (2 Ears),"£6,000","£6,000"
Multi-disciplinary Balance Clinic,"£1,200","£1,200"
VNG,£265,£265
Caloric Testing,£300,£300
VHIT,£155,£155
VEMP,£275,£275
Dix Hallpike (BPPV Assessment),£105,£105
Vestibular Rehabilitation,£125,£125
Falls Risk Assessment,£500,£500
Concussion Assessment,£500,£500
Tinnitus Consultation,£300,£300
Tinnitus Matching Test,£75,£75
Tinnitus Retraining Therapy,£150,£150
Tinnitus CBT,£150,£150
Ear Health Check,£50,£50
Wax Microsuction,£85,£85
Ear Swab,£55,£55
Ear Impressions (one or both ears),£30,£30
,,
,,
One Stop Breast Clinic,Canary Wharf,Orpington
MRI Breast,£685,£600
MRI Breast with Contrast*,£795,£710
Unilateral Breast and Axilla Ultrasound,£380,£350
Bilateral Breast and Axilla Ultrasound,£390,£390
Unilateral guided Fine Needle Aspiration (FNA),£650,£650
Bilateral guided Fine Needle Aspiration (FNA),£950,£950
Ultrasound Guided Core Biopsy,"£1,700","£1,500"
Histopathology (small),£252,£252
Histopathology (Complex),£634,£634
Ultrasound Magseed Insertion,"£1,450","£1,300"
Bilateral Mammogram,£270,£190
Unilateral Mammogram,£250,£170
Bilateral Tomosynthesis,£290,£275
Unilateral Tomosynthesis,£260,£240
Further View Mammogram (Mag/paddle),£125,£125
Unilateral Stereotactic Biopsy,"£1,700","£1,500"
Bilateral stereotactic core biopsy breasts,"£1,700","£1,500"
Bilateral Vacuum – Assisted Biopsy,"£1,550","£1,550"
Unilateral Vacuum – Assisted Biopsy,"£1,550","£1,550"
Aspiration Fine Needle Cytology (S4760),£650,£650
Ultrasound guided drainage of fluid collection,"£1,450","£1,300"
Insertion of guidewire and/or marker into breast lesion under imaging control,"£1,400","£1,350"
Drainage of breast abscess (including haematoma and seroma),"£1,300","£1,100"
,,
Minor Operations,Canary Wharf,Orpington
Nerve Root Block,–,"From £1,200"
Medial branch block injection,–,"From £1,200"
Facet joint injection,–,"From £1,200"
Epidural Injection,–,"From £1,500"
Arthrosamid Injections,–,"From £3,604"
Carpal Tunnel Release,–,"From £1,200"
