Name,Specialization,Services Offered
Fabio Castiglione,Consultant Urologist Andrologist,Renal services
Ferha Saeed,Consultant Obstetrician & Gynaecologist,Women's health
Gary Weaver,Physiotherapy Manager & MSK Physiotherapist,Physiotherapy and sports health
Gerald George,Consultant Rheumatologist,"Dermatology, Haematology, Rheumatology"
Gurminder Singh Khamba,Consultant Kidney Specialist,Renal services
Habib Ellamushi,Neurosurgeon,Neuro surgery
Hasan Al-Chalabi,Consultant General Surgeon,General Surgery
Howard Curtis,Consultant Gastroenterologist and Hepatologist,"Gastroenterology, Haematology, Neurology"
Imran Rafiq,Consultant Spinal Orthopaedic and Trauma Surgeon,Orthopaedics
Irfan Syed,Consultant ENT Surgeon,"Ears, Nose & Throat (ENT)"
Jacek Adamek,"General surgery, Colorectal surgery, Healthy bowel assessment","Bupa health assessments, General Surgery, Neuro surgery"
Jaina Joshi,LycaHealth Sessional GP (F),Private GP services
Joanna Allinson,Hand Physiotherapist,Physiotherapy and sports health
Johnathan Chan,Neurologist,"Gastroenterology, Neurology"
Jonathan Noël,Consultant Urological Surgeon,Renal services
Jun Cheong,Consultant Cardiologist,"Audiology, Cardiology"
Kare Tang,Consultant Cardiologist,"Audiology, Cardiology"
Kasetti Ravikumar,Orthopaedic,Orthopaedics
Kiran Chandan,General Practitioner,Private GP services
Konrad Grosser,Consultant (Interventional) CardiologistIFM Certified PractitionerAdvanced Holistic Health & CardiologyGMC 4465089,"Audiology, Cardiology"
Krissen Chettiar,Consultant Orthopaedic Surgeon,Orthopaedics
Kulvinder Talewar,Vestibular Physiotherapist,Physiotherapy and sports health
Laila Cunin,General and Colorectal Surgeon,General Surgery
Laura Johnson,Consultant Oncoplastic and Reconstructive Breast Surgeon,Breast Ultrasound
Leila Hanna,Consultant Gynaecologist & IVF/Fertility,Women's health
Liam Stapleton,Podiatry,Women's health
Loren Charles,Orthopaedic surgeon,Orthopaedics
Lucia Pozo-Garcia,Consultant Dermatologist,"Dermatology, Haematology, Rheumatology"
Lucy Bryant,Physiotherapist,Physiotherapy and sports health
Luke Dancy,Consultant Cardiologist & Interventional Cardiologist,"Audiology, Cardiology"
Luxmi Velauthar,Consultant in Obstetrics and Gynaecology,"Haematology, Neurology"
Madhusudhan Mali,Consultant in Pain Management and Anaesthesia,Pain Management
Mangattil Rajesh,Consultant Spine Surgeon,Neuro surgery
Mark Jeffery,Consultant Orthopaedic Surgeon,Orthopaedics
Maxwell Asante,Consultant Gastroenterologist,"Gastroenterology, Neurology"
Mayur Kumar,Consultant Gastroenterologist,"Gastroenterology, Neurology"
Mohamed Shibu,Consultant Plastic Surgeon,Plastic surgery
Mohammed Salam,Consultant Audiologist,"Audiology, Cardiology"
Mohsen El Gammal,Consultant Oncoplastic and Aesthetic breast surgeon,Breast Ultrasound
Munir Ahmed,Consultant Urological Surgeon,Renal services
Nataly Atalla,Obstetrics and gynaecology,"Services, Haematology, Neurology"
Naveen Mudalagiri,Consultant Cardiologist,"Audiology, Cardiology"
Omar Dawood,Consultant in Plastic Surgery,Plastic surgery
Omer Devaja,Consultant Gynaecologist,Women's health
Paul Jairaj,Consultant Hip & Knee Orthopaedic Surgeon,Orthopaedics
Paul Kirkland,Consultant ENT Surgeon,"Ears, Nose & Throat (ENT)"
Pavlos Pavlakis,Consultant Urological Surgeon,Renal services
Peter Kabunga,Consultant Cardiologist/Internal Medicine,"Audiology, Cardiology"
Prakash Saha,Consultant Vascular Surgeon,General Surgery
Rahij Anwar,Consultant Orthopaedic Surgeon,Orthopaedics
Rahul Kanegaonkar,Consultant ENT Surgeon,"Ears, Nose & Throat (ENT)"
Rahuldeb Sarkar,Respiratory Medicine,Sports medicine
Rajab Kerwat,Consultant General Surgeon,General Surgery
Ravi Singh,Consultant Orthopaedic Surgeon,Orthopaedics
Richard Dickson-Lowe,Consultant Surgeon for General Surgery,"General Surgery, Neuro surgery"
Safina Ali,Consultant ENT / Head & Neck Surgeon,"Ears, Nose & Throat (ENT)"
Saheed Shabbir,Hand and Upper Limb Occupational Therapist,Physiotherapy and sports health
Sajid Shariff,Consultant Orthopaedic Foot and Ankle surgeon,Orthopaedics
Samantha Tross,Consultant Orthopaedic Hip & Knee Surgeon,Orthopaedics
Sameena Kausar,Consultant Obstetrician and Gynaecologist,Women's health
Sandra Lulsegged,Private GP,Private GP services
Sanjay Kuravinakop,Consultant in Pain Medicine and Anaesthetics,Pain Management
Seema Seetharam,Consultant Oncoplastic and Reconstructive Breast Surgeon,Breast Ultrasound
Sharaf Ibrahim,Consultant Endocrinologist,"Cardiology, Endocrinology"
Shiaam Thava,Consultant Obstetrician and Gynaecologist,Women's health
Shwetal Dighe,Upper GI and General Surgeon,General Surgery
Siao Pei Tan,Consultant Dermatologist,"Dermatology, Haematology, Rheumatology"
Simon Bailey,Consultant General & Colorectal Surgeon,General Surgery
Siva Kumar,Consultant Cosmetic Surgeon,Plastic surgery
Siva Sivappriyan,Consultant in Diabetes and Endocrinology,"Cardiology, Endocrinology"
Spencer Hodges,Consultant Oral & Maxillofacial Surgeon,Oral & Maxillofacial
Sri Mahalingam,"Consultant ENT, Nose & Sinus Surgeon","Ears, Nose & Throat (ENT)"
Sriramulu Tharakaram,Consultant Dermatologist,"Dermatology, Haematology, Rheumatology"
Srividya Seshadri,Gynaecologist,Women's health
Stefan Weitzel,Consultant Orthopaedic Surgeon,Orthopaedics
Steve Millington,Orthopedic Surgeon,Orthopaedics
Sudeendra Doddi,Consultant Breast Surgeon,Breast Ultrasound
Sukhdev Chatu,Consultant Gastroenterologist & Physician,"Gastroenterology, Neurology"
Suki Greaves,Consultant Psychiatrist,Corporate health and well being
Sunil Gupta,Consultant Haematologist,"Dermatology, Haematology, Rheumatology"
Tan Arulampalam,General Surgery Consultant,"General Surgery, Neuro surgery"
Thomas Smith,Consultant Urological Surgeon,Renal services
Tony Jacob,Consultant ENT Surgeon,"Ears, Nose & Throat (ENT)"
Venkatesh Subramanian,"Consultant in Obstetrics, Gynaecology and Reproductive Medicine",Neurology
Vik Vasishta,General Practioner,Private GP services
Vikram Sharma,Consultant Hepatologist,Haematology
Vimple Bhalani,General Practitioner,Private GP services
Wakila Hettiarachchi,Senior Outpatient Physiotherapist,Physiotherapy and sports health
Wing Chu,"Consultant in Musculoskeletal, Sport & Exercise Medicine",Physiotherapy and sports health
Winston Martin,Cardiology,"Audiology, Cardiology, Endocrinology"
Yasser Falah,Consultant Neurologist,Neurology
Yazan Masannat,Consultant Oncoplastic Breast Surgeon,Breast Ultrasound
Zakia Balghari,Gynaecologist & Obstetrician,Women's health
Zaryab Khan,Physiotherapist,Physiotherapy and sports health
Zoe Schaedel,BMS Menopause Specialist,Women's health
